"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.50457,0.50457,0.50457,0.50457,0.50457,0.50457,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,600
1,0.75583,0.75583,0.75583,0.75583,0.75583,0.75583,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,660
1,0.90845,0.90845,0.90845,0.90845,0.90845,0.90845,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,720
1,0.97324,0.97324,0.97324,0.97324,0.97324,0.97324,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,780
1,0.99371,0.99371,0.99371,0.99371,0.99371,0.99371,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,840
1,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,900
1,0.99984,0.99984,0.99984,0.99984,0.99984,0.99984,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,960
1,1,1,1,1,1,1,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,1020
1,1,1,1,1,1,1,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,1080
1,1,1,1,1,1,1,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,1140
